"SongName","ArtistName","AlbumName"
"Tim Myers - Hills to Climb","Tim Myers - Hills to Climb","Tim Myers - Hills to Climb"
"Run Boy Run","Woodkid","The Golden Age"
"Iron","Woodkid","The Golden Age"
"Kathleen","Catfish and the Bottlemen","/"
"Growing Up Beside You","Paolo Nutini","Sunny Side Up"
"All About It","Hoodie Allen feat. Ed Sheeran","All About It - EP"
"Pacifier","Catfish and the Bottlemen","The Balcony"
"Hourglass","Catfish and the Bottlemen","The Balcony"
"Business","Catfish and the Bottlemen","The Balcony"
"26","Catfish and the Bottlemen","The Balcony"
"Sidewinder","Catfish and the Bottlemen","The Balcony"
"Tyrants","Catfish and the Bottlemen","The Balcony"
"Flaws","Bastille","All This Bad Blood (Disc 1)"
"Make It Rain","Ed Sheeran ","Sons of Anarchy soundtrack"
"Love And Leave It Alone (B-side)","Royal Blood","Royal Blood"
"Hold Back The River","Va - www.musicasparabaixar.org","The Official Uk Top 40 Singles Chart 07-12-2014 - www.musicasparabaixar.org"
"Come Join The Murder","The White Buffalo","Sons of Anarchy Season 7"
"All my tears","Ane Brun","Peaky Blinders"
"Listen to the Man","George Ezra","Wanted on Voyage"
"Summertime Sadness","Lana Del Rey","Born to Die"
"Mess Is Mine","Va - www.musicasparabaixar.org","FIFA 15 OST Soundtrack - www.musicasparabaixar.org"
"Fix You","Coldplay","X&Y"
"Distant Past","Everything Everything","BIRP! March 2015"
"I See Fire (Music Video)","Ed Sheeran ","ed sheeran "
"Rabbit Hole","Jamie T","-"
"Zombie","Jamie T","Carry on the Grudge"
"Murder in the City","The Avett Brothers","The Second Gleam""I Walk the Line","Johnny Cash","The Legend of Johnny Cash"
"Jumper","Third Eye Blind","Third Eye Blind: A Collection"
"Knights of Cydonia","Muse","Black Holes and Revelations"
"This River Is Wild","The Killers","Sam's Town"
"Londons Burning","Clash","The Clash (US Release)"
"Sabotage","Beastie Boys","Gold '99"
"Bat Out of Hell","Meat Loaf","Bat Out of Hell"
"Copperhead Road","Steve Earle","Copperhead Road"
"Solitary Man","Johnny Cash","American III: Solitary Man"
"It Was a Good Day","Ice Cube","The Predator"
"Teenage Dirtbag","Wheatus","Teenage Dirtbag"
"A Thousand Trees","Stereophonics","Word Gets Around"
"Hey Ya","OutKast","Speakerboxxx / The Love Below"
"Empire State of Mind","Jay-Z","The Blueprint 3"
"99 Problems","Jay-Z","The Black Album"
"Fire","Kasabian","West Ryder Pauper Lunatic Asylum"
"The Gambler","Kenny Rogers","CMT's 100 Greatest Country Songs Of All Time"
"A Hard Rain's A-Gonna Fall","Bob Dylan","The Freewheelin’ Bob Dylan"
"Some Nights","fun.","JayeL Audio - 4th of July 2012 Mixtape - NITE"
"What Makes A Good Man","The Heavy","The Glorious Dead"
"I Am Yours","Jason Mraz","We Sing. We Dance. We Steal Things."
"Where Is My Mind?","Pixies","Surfer Rosa"
"Come Fly With Me","Frank Sinatra","The Very Best of Frank Sinatra"
"Express Yourself","N.W.A","Straight Outta Compton"
"Last Nite","The Strokes","Is This It"
"Hallelujah","Willie Nelson","Songbird"
"Reverly","Kings of Leon","Only by the Night"
"Temple","Kings of Leon","zzz"
"Hero of War","Rise Against","Appeal to Reason"
"Can't Stop","Red Hot Chili Peppers","Can't Stop"
"Everybody Hurts","R.E.M.","Gold Collection"
"Weight Of Love","The Black Keys","Turn Blue"
"FourFiveSeconds","Va - www.musicasparabaixar.org","The Official Uk Top 40 Singles Chart 02-01-2015 - www.musicasparabaixar.org"
"Gone, Gone, Gone","Phillip Phillips","The World From The Side Of The Moon"
"The Middle","Jimmy Eat World","Jimmy Eat World"
"You're Gonna Go Far, Kid","The Offspring","Rise and Fall, Rage and Grace"
"Stay Together for the Kids","blink-182","Stay Together for the Kids"
"Adam’s Song","blink-182","Greatest Hits"
"I Hung My Head","Johnny Cash","American IV: The Man Comes Around"
"99 Problems","Hugo","Old Tyme Religion"
"Gimme Shelter","The Rolling Stones","Let It Bleed"
"Gotta Get Away","The Black Keys","Turn Blue"
"Sally MacLennane","The Pogues","The Best of The Pogues"
"Champagne Supernova","Oasis/Oasis","Buenos Aires, 18.01.2001"
"Little by little","Oasis(?????)","Kuschelrock"
"All These Things I've Done","The Killers","Hot Fuss"
"A Nation Once Again","Luke Kelly","The Collection"
"Bad Moon Rising","Creedence Clearwater Revival","The Rolling Stone Magazines 500 Greatest Songs Of All Time"
